"Bacteria","Replica","PhiA","PhiB","PhiC","PhiA+PhiB","PhiA+PhiC","PhiB+PhiC","PhiA+PhiB+PhiC","Nophage"
"Strain_01",1,0.5385,0.5351,0.0947,0.9606,0.8433,0.935,0.9784,0.0054
"Strain_01",2,0.4694,0.5319,0.1584,0.9205,0.9311,0.9133,0.9339,0.021
"Strain_01",3,0.383,0.6223,0.2717,0.9433,0.8852,0.916,0.9411,0.025
"Strain_02",1,0.2063,0.2525,0.3152,0.8504,0.8146,0.881,0.8673,1e-04
"Strain_02",2,0.0912,0.311,0.3955,0.7438,0.7469,0.8036,0.8436,0.0291
"Strain_02",3,0.135,0.3226,0.2904,0.8192,0.7697,0.8373,0.877,0.0122
"Strain_03",1,0.3113,0.455,0.3235,0.7575,0.7832,0.9048,0.9194,0.0058
"Strain_03",2,0.4803,0.4505,0.21,0.6939,0.7719,0.7781,0.9219,0.0149
"Strain_03",3,0.3722,0.3461,0.3574,0.8713,0.7031,0.7996,0.9045,0.0187
"Strain_04",1,0.2055,0.6135,0.1686,0.5087,0.3256,0.6593,0.7065,0.0102
"Strain_04",2,0.1306,0.5937,0.2625,0.5223,0.3796,0.6376,0.6976,0.0016
"Strain_04",3,0.1935,0.6152,0.3022,0.6745,0.3426,0.6425,0.7364,0.012
"Strain_05",1,0.2803,0.2164,0.3242,0.3883,0.5099,0.6064,0.5701,0.0145
"Strain_05",2,0.3025,0.1621,0.5262,0.4456,0.6195,0.5844,0.7064,0.0127
"Strain_05",3,0.2098,0.2043,0.3356,0.3899,0.4026,0.4297,0.6583,0.0017
"Strain_06",1,0.4909,0.2988,0.0676,0.6797,0.6075,0.3273,0.6566,0.0365
"Strain_06",2,0.4627,0.302,0.108,0.6929,0.5876,0.4165,0.5843,0.0224
"Strain_06",3,0.5781,0.3819,0.0514,0.6616,0.5615,0.3789,0.763,0.0666
"Strain_07",1,0.241,0.2486,0.4673,0.2356,0.2445,0.1841,0.3372,0.0217
"Strain_07",2,0.2433,0.1789,0.3244,0.333,0.1952,0.3281,0.4467,0.0073
"Strain_07",3,0.367,0.2326,0.3571,0.1899,0.4295,0.2548,0.53,0.0194
"Strain_08",1,0.4872,0.3182,0.042,0.2491,0.2151,0.2708,0.3836,0.0045
"Strain_08",2,0.5534,0.3361,0.0537,0.3379,0.1869,0.1508,0.3318,0.0353
"Strain_08",3,0.6379,0.3696,0.0693,0.3247,0.1773,0.1003,0.3201,0.0159
